seed,week_number,attendance_rate,purchase_rate,buyer_seller_pair_stability,mean_loyalty_streak,total_revenue,promotion_seller_id,Poor_to_Slow_share,Poor_to_Shigh_share,Middle_to_Slow_share,Middle_to_Shigh_share,Rich_to_Slow_share,Rich_to_Shigh_share
24,11,0.85,0.65,0.4146341463414634,2.0,210.59999999999997,-1,1.0,0.0,0.8181818181818182,0.18181818181818182,0.5833333333333334,0.4166666666666667
24,12,0.87,0.72,0.425531914893617,1.8472222222222223,235.92,0,1.0,0.0,0.6190476190476191,0.38095238095238093,0.6111111111111112,0.3888888888888889
24,13,0.88,0.73,0.4528301886792453,1.917808219178082,222.0,-1,1.0,0.0,0.9047619047619048,0.09523809523809523,0.6153846153846154,0.38461538461538464
24,14,0.89,0.7,0.4339622641509434,1.9428571428571428,201.6,-1,1.0,0.0,0.8888888888888888,0.1111111111111111,0.7,0.3
24,15,0.82,0.62,0.5434782608695652,2.3548387096774195,212.99999999999994,-1,1.0,0.0,0.8333333333333334,0.16666666666666666,0.6153846153846154,0.38461538461538464
24,16,0.87,0.68,0.425,2.0588235294117645,211.19999999999996,-1,1.0,0.0,0.75,0.25,0.5833333333333334,0.4166666666666667
24,17,0.8,0.67,0.4222222222222222,2.1194029850746268,220.0,-1,1.0,0.0,0.6521739130434783,0.34782608695652173,0.5,0.5
24,18,0.78,0.6,0.358974358974359,2.15,192.59999999999997,-1,1.0,0.0,0.6470588235294118,0.35294117647058826,0.7692307692307693,0.23076923076923078
24,19,0.87,0.71,0.425,2.0140845070422535,213.0,-1,1.0,0.0,0.782608695652174,0.21739130434782608,0.7777777777777778,0.2222222222222222
24,20,0.82,0.66,0.28,2.015151515151515,208.79999999999998,-1,1.0,0.0,0.7894736842105263,0.21052631578947367,0.7692307692307693,0.23076923076923078
24,21,0.86,0.62,0.38095238095238093,2.2419354838709675,210.6,-1,1.0,0.0,0.8181818181818182,0.18181818181818182,0.7142857142857143,0.2857142857142857
24,22,0.88,0.66,0.5681818181818182,2.1818181818181817,214.19999999999996,-1,1.0,0.0,0.8235294117647058,0.17647058823529413,0.7222222222222222,0.2777777777777778
24,23,0.78,0.66,0.3333333333333333,2.1363636363636362,215.2,-1,1.0,0.0,0.7272727272727273,0.2727272727272727,0.6153846153846154,0.38461538461538464
24,24,0.91,0.73,0.3137254901960784,2.0821917808219177,250.79999999999993,-1,1.0,0.0,0.6818181818181818,0.3181818181818182,0.625,0.375
