week,counter (7a-7d) median,"delta=0, L*=1 median","delta=0.25, L*=1 median","delta=0.5, L*=1 median","delta=1, L*=1 median","delta=0, L*=1.25 median","delta=0.25, L*=1.25 median","delta=0.5, L*=1.25 median","delta=1, L*=1.25 median",counter (7a-7d) IQR,"delta=0, L*=1 IQR","delta=0.25, L*=1 IQR","delta=0.5, L*=1 IQR","delta=1, L*=1 IQR","delta=0, L*=1.25 IQR","delta=0.25, L*=1.25 IQR","delta=0.5, L*=1.25 IQR","delta=1, L*=1.25 IQR"
39,0.0,0.5032798647880554,0.5101570785045624,0.5227028131484985,0.5303656160831451,0.39213186502456665,0.39921896159648895,0.40355393290519714,0.41062429547309875,0.5,0.5023045539855957,0.5198618844151497,0.5255942642688751,0.5450306162238121,0.4073404222726822,0.41877248883247375,0.43461596965789795,0.4533526077866554
40,0.0,0.5388520956039429,0.5456928014755249,0.5547417104244232,0.5640230476856232,0.41565364599227905,0.4238862097263336,0.4288392663002014,0.4401763677597046,0.5,0.46900835633277893,0.47710423171520233,0.48794659972190857,0.5120020732283592,0.38183023035526276,0.38895947858691216,0.39765068888664246,0.4176280163228512
41,0.0,0.5297332108020782,0.5377223491668701,0.5427972078323364,0.560793936252594,0.4102177917957306,0.41832345724105835,0.42105424404144287,0.43049047887325287,0.5,0.5228008553385735,0.5237739682197571,0.5303420126438141,0.5373604893684387,0.42455119639635086,0.42913414537906647,0.4387580528855324,0.45019685104489326
42,0.0,0.5092093050479889,0.5153900980949402,0.5209837555885315,0.5298207402229309,0.3990820348262787,0.40651722252368927,0.4115917384624481,0.4196103513240814,0.5,0.46303123235702515,0.4672742187976837,0.4764000028371811,0.495430588722229,0.38979126885533333,0.39371194690465927,0.3949458748102188,0.41904690861701965
43,0.0,0.5251004695892334,0.5362151861190796,0.5488295555114746,0.5576824843883514,0.41163553297519684,0.42283566296100616,0.43139198422431946,0.4397842139005661,0.5,0.4712207019329071,0.4777575060725212,0.4836868941783905,0.5088448971509933,0.39273422211408615,0.3984480984508991,0.4084085375070572,0.42744069173932076
44,0.0,0.5143454372882843,0.5215292572975159,0.5265954732894897,0.5333883166313171,0.4054182320833206,0.41242265701293945,0.4178186357021332,0.42498679459095,0.5,0.490885853767395,0.49642471969127655,0.5069136321544647,0.5193728804588318,0.4023696817457676,0.40976732224226,0.4168982207775116,0.4329800605773926
45,0.0,0.5260475873947144,0.5344077348709106,0.5437915921211243,0.5584951043128967,0.4118088185787201,0.41958875954151154,0.42477700114250183,0.43569228053092957,0.5,0.4698961526155472,0.4710395336151123,0.47882911562919617,0.49385592341423035,0.39267662912607193,0.3934140168130398,0.39714567735791206,0.41287811845541
46,0.0,0.5370283722877502,0.5454035401344299,0.5565159320831299,0.5661567449569702,0.41421209275722504,0.42316095530986786,0.43742284178733826,0.4488006830215454,0.5,0.4583197236061096,0.4623926430940628,0.4694434702396393,0.48295465111732483,0.38559718057513237,0.3878958560526371,0.3928462117910385,0.41161832213401794
47,0.0,0.5216803550720215,0.5322687923908234,0.5448493659496307,0.5574093759059906,0.41085654497146606,0.41941964626312256,0.43028584122657776,0.43871185183525085,0.5,0.47889891266822815,0.49215348064899445,0.5020535364747047,0.5177264362573624,0.3936266712844372,0.39971859753131866,0.411575123667717,0.43373818323016167
48,0.0,0.5119893550872803,0.5233034491539001,0.5316076278686523,0.5462713837623596,0.3989584147930145,0.40961846709251404,0.41673314571380615,0.42891061305999756,0.5,0.4773310199379921,0.4866459295153618,0.4952453523874283,0.5171479284763336,0.39631860703229904,0.40451355278491974,0.4190407805144787,0.4321189410984516
49,0.0,0.5305895805358887,0.5378726720809937,0.54893559217453,0.5619847178459167,0.41472701728343964,0.42382535338401794,0.43047599494457245,0.4358241558074951,0.5,0.47379423677921295,0.48211100697517395,0.48723895847797394,0.5056813955307007,0.39174607023596764,0.39832474663853645,0.4087277092039585,0.42146380990743637
50,0.0,0.523804634809494,0.534963846206665,0.5443659126758575,0.5617593824863434,0.39959482848644257,0.4109751880168915,0.4201235920190811,0.43265606462955475,0.5,0.4736476317048073,0.4795108735561371,0.491094172000885,0.5144020617008209,0.39269018545746803,0.40032561123371124,0.4150741882622242,0.43182288482785225
51,0.0,0.5144375860691071,0.5268978476524353,0.5387671589851379,0.5522957444190979,0.4042542725801468,0.4152030944824219,0.4240186810493469,0.43439003825187683,0.5,0.48015033453702927,0.4903225898742676,0.49678584933280945,0.5143963992595673,0.393249049782753,0.3977402597665787,0.41162367165088654,0.4288938194513321
52,0.0,0.5318809151649475,0.5400098562240601,0.5476966500282288,0.5570498108863831,0.4074549376964569,0.4233894646167755,0.426501139998436,0.4350180923938751,0.5,0.47076794505119324,0.48037734627723694,0.4902968928217888,0.5233922600746155,0.38983678817749023,0.40032265335321426,0.4024757035076618,0.4269673153758049
53,0.0,0.5163287222385406,0.5219983458518982,0.5265667736530304,0.5433247983455658,0.40275752544403076,0.4090285897254944,0.413846418261528,0.4252869188785553,0.5,0.4675288647413254,0.4783767759799957,0.4836951345205307,0.49913278222084045,0.38348016142845154,0.39284445345401764,0.4013498015701771,0.41624803841114044
