delta,schedule,family,flat,scheduled,gain_pct,ci_lo_pct,ci_hi_pct
0.5,invest 8wk @0.80x -> 1.00x,one-shot,43.44235227272731,43.6351464646465,0.44379316918395745,0.2145168463086702,0.6730694920592447
0.5,invest 8wk @0.80x -> 1.10x,one-shot,43.44235227272731,37.59475492424244,-13.460590973007513,-14.388575665542843,-12.532606280472185
0.5,invest 8wk @0.80x -> 1.20x,one-shot,43.44235227272731,27.839349999999992,-35.91656863968372,-37.199765376836076,-34.63337190253136
0.5,invest 8wk @0.90x -> 1.00x,one-shot,43.44235227272731,43.902896464646496,1.060127198057639,0.8736397499145274,1.2466146462007504
0.5,invest 8wk @0.90x -> 1.10x,one-shot,43.44235227272731,37.86625479797981,-12.83562510552198,-13.737471469551032,-11.93377874149293
0.5,invest 8wk @0.90x -> 1.20x,one-shot,43.44235227272731,28.136656060606057,-35.2321994813573,-36.496121047676944,-33.968277915037646
0.5,invest 16wk @0.80x -> 1.00x,one-shot,43.44235227272731,42.98681994949498,-1.048590371839279,-1.3834750073321074,-0.7137057363464506
0.5,invest 16wk @0.80x -> 1.10x,one-shot,43.44235227272731,37.917457070707094,-12.717762535820794,-13.610444602898783,-11.82508046874281
0.5,invest 16wk @0.80x -> 1.20x,one-shot,43.44235227272731,29.689959595959593,-31.656648310458362,-32.886727672849055,-30.42656894806768
0.5,invest 16wk @0.90x -> 1.00x,one-shot,43.44235227272731,43.985209469697004,1.249603597801721,0.9625988666953889,1.5366083289080532
0.5,invest 16wk @0.90x -> 1.10x,one-shot,43.44235227272731,38.976865782828305,-10.27910841904937,-11.1519706496682,-9.406246188430536
0.5,invest 16wk @0.90x -> 1.20x,one-shot,43.44235227272731,30.73541654040404,-29.25010978353618,-30.44485438368239,-28.05536518338996
0.5,cycle 2wk @0.80x / 2wk @1.10x,cyclic,43.44235227272731,36.58356717171719,-15.78824520815829,-16.63052598922301,-14.945964427093571
0.5,cycle 2wk @0.80x / 2wk @1.20x,cyclic,43.44235227272731,31.338314646464646,-27.862297948956723,-29.04848439573441,-26.676111502179033
0.5,cycle 2wk @0.90x / 2wk @1.10x,cyclic,43.44235227272731,38.88051919191921,-10.500888746008277,-11.309421992782772,-9.692355499233782
0.5,cycle 2wk @0.90x / 2wk @1.20x,cyclic,43.44235227272731,33.24544911616162,-23.472262948724364,-24.626272155096597,-22.31825374235213
0.5,cycle 2wk @0.80x / 4wk @1.10x,cyclic,43.44235227272731,36.90925378787879,-15.038546816789003,-15.882072062826714,-14.195021570751292
0.5,cycle 2wk @0.80x / 4wk @1.20x,cyclic,43.44235227272731,29.934457575757573,-31.09383813327681,-32.300302966276575,-29.887373300277048
0.5,cycle 2wk @0.90x / 4wk @1.10x,cyclic,43.44235227272731,38.07844116161618,-12.3471930742538,-13.195978959964991,-11.498407188542613
0.5,cycle 2wk @0.90x / 4wk @1.20x,cyclic,43.44235227272731,30.707224242424235,-29.315005666251757,-30.515637594794388,-28.11437373770913
0.5,cycle 2wk @0.80x / 8wk @1.10x,cyclic,43.44235227272731,36.783834848484865,-15.327248815719837,-16.23473893218199,-14.419758699257686
0.5,cycle 2wk @0.80x / 8wk @1.20x,cyclic,43.44235227272731,28.458744949494946,-34.490782702480224,-35.811155600028044,-33.17040980493241
0.5,cycle 2wk @0.90x / 8wk @1.10x,cyclic,43.44235227272731,37.414952777777785,-13.874477738014782,-14.743804339822095,-13.005151136207466
0.5,cycle 2wk @0.90x / 8wk @1.20x,cyclic,43.44235227272731,28.76571628787878,-33.78416503026788,-35.07574847238982,-32.49258158814593
0.5,cycle 4wk @0.80x / 2wk @1.10x,cyclic,43.44235227272731,36.640597348484874,-15.656967379532327,-16.445117007132882,-14.86881775193177
0.5,cycle 4wk @0.80x / 2wk @1.20x,cyclic,43.44235227272731,33.09838434343435,-23.810791515971374,-24.793552079211974,-22.828030952730778
0.5,cycle 4wk @0.90x / 2wk @1.10x,cyclic,43.44235227272731,40.196070202020216,-7.4726203828172215,-8.113277197112817,-6.8319635685216245
0.5,cycle 4wk @0.90x / 2wk @1.20x,cyclic,43.44235227272731,36.31132790404042,-16.41491308739209,-17.27286599819805,-15.556960176586134
0.5,cycle 4wk @0.80x / 4wk @1.10x,cyclic,43.44235227272731,36.767869949494965,-15.363998434823497,-16.168868870648094,-14.559127998998903
0.5,cycle 4wk @0.80x / 4wk @1.20x,cyclic,43.44235227272731,31.518943939393935,-27.446507174563756,-28.55427266052788,-26.338741688599633
0.5,cycle 4wk @0.90x / 4wk @1.10x,cyclic,43.44235227272731,39.09388636363637,-10.009738611278754,-10.787680678953237,-9.23179654360427
0.5,cycle 4wk @0.90x / 4wk @1.20x,cyclic,43.44235227272731,33.41228219696969,-23.08822969067075,-24.08381224702257,-22.09264713431893
0.5,cycle 4wk @0.80x / 8wk @1.10x,cyclic,43.44235227272731,36.81685934343435,-15.251229693315576,-16.076391167079514,-14.426068219551642
0.5,cycle 4wk @0.80x / 8wk @1.20x,cyclic,43.44235227272731,29.918674242424242,-31.13016980618956,-32.320695717945085,-29.93964389443403
0.5,cycle 4wk @0.90x / 8wk @1.10x,cyclic,43.44235227272731,38.14943080808083,-12.183781926489567,-12.98349257740978,-11.384071275569354
0.5,cycle 4wk @0.90x / 8wk @1.20x,cyclic,43.44235227272731,30.90619318181818,-28.856998838847886,-29.97135912089951,-27.742638556796262
1.0,invest 8wk @0.80x -> 1.00x,one-shot,43.54196590909093,44.323099494949524,1.7939786813702432,1.5445110648548732,2.0434462978856134
1.0,invest 8wk @0.80x -> 1.10x,one-shot,43.54196590909093,33.73174494949496,-22.53049616564912,-23.495748393099646,-21.565243938198588
1.0,invest 8wk @0.80x -> 1.20x,one-shot,43.54196590909093,18.976644444444442,-56.417575439600476,-57.65361201625198,-55.181538862948976
1.0,invest 8wk @0.90x -> 1.00x,one-shot,43.54196590909093,44.488584343434376,2.174036965441188,1.965823376290981,2.382250554591394
1.0,invest 8wk @0.90x -> 1.10x,one-shot,43.54196590909093,33.79078573232324,-22.39490104127749,-23.355195090086415,-21.434606992468566
1.0,invest 8wk @0.90x -> 1.20x,one-shot,43.54196590909093,19.07467424242424,-56.19243678099129,-57.40563262259727,-54.9792409393853
1.0,invest 16wk @0.80x -> 1.00x,one-shot,43.54196590909093,43.94075353535357,0.9158695937047036,0.5150450824762866,1.3166941049331204
1.0,invest 16wk @0.80x -> 1.10x,one-shot,43.54196590909093,35.26464141414143,-19.009992594802256,-19.971471845511548,-18.04851334409296
1.0,invest 16wk @0.80x -> 1.20x,one-shot,43.54196590909093,22.46168181818182,-48.41371686092808,-49.585398452609084,-47.2420352692471
1.0,invest 16wk @0.90x -> 1.00x,one-shot,43.54196590909093,44.87049318181822,3.0511421452606,2.7349648766974535,3.367319413823746
1.0,invest 16wk @0.90x -> 1.10x,one-shot,43.54196590909093,36.05029835858587,-17.20562541008493,-18.127200749613525,-16.284050070556333
1.0,invest 16wk @0.90x -> 1.20x,one-shot,43.54196590909093,23.311319444444447,-46.46240940724871,-47.596510458169675,-45.32830835632774
