seed,buyer_id,buyer_class,n_purchases,total_spent,budget_remaining
3,26,Homogeneous,0,0.0,5.0
3,27,Homogeneous,1,3.0,2.0
3,28,Homogeneous,1,3.0,2.0
3,29,Homogeneous,0,0.0,5.0
3,30,Homogeneous,1,3.0,2.0
3,31,Homogeneous,1,3.0,2.0
3,32,Homogeneous,0,0.0,5.0
3,33,Homogeneous,1,3.0,2.0
3,34,Homogeneous,1,3.0,2.0
3,35,Homogeneous,1,3.0,2.0
3,36,Homogeneous,1,3.0,2.0
3,37,Homogeneous,0,0.0,5.0
3,38,Homogeneous,1,3.0,2.0
3,39,Homogeneous,1,3.0,2.0
3,40,Homogeneous,1,3.0,2.0
3,41,Homogeneous,1,3.0,2.0
3,42,Homogeneous,1,3.0,2.0
3,43,Homogeneous,0,0.0,5.0
3,44,Homogeneous,1,3.0,2.0
3,45,Homogeneous,1,3.0,2.0
3,46,Homogeneous,1,3.0,2.0
3,47,Homogeneous,1,3.0,2.0
3,48,Homogeneous,1,3.0,2.0
3,49,Homogeneous,1,3.0,2.0
3,50,Homogeneous,1,3.0,2.0
3,51,Homogeneous,1,3.0,2.0
3,52,Homogeneous,1,3.0,2.0
3,53,Homogeneous,1,3.0,2.0
3,54,Homogeneous,0,0.0,5.0
3,55,Homogeneous,1,3.0,2.0
3,56,Homogeneous,1,3.0,2.0
3,57,Homogeneous,0,0.0,5.0
3,58,Homogeneous,0,0.0,5.0
3,59,Homogeneous,0,0.0,5.0
3,60,Homogeneous,1,3.0,2.0
3,61,Homogeneous,1,3.0,2.0
3,62,Homogeneous,0,0.0,5.0
3,63,Homogeneous,0,0.0,5.0
3,64,Homogeneous,1,3.0,2.0
3,65,Homogeneous,1,3.0,2.0
3,66,Homogeneous,1,3.0,2.0
3,67,Homogeneous,1,3.0,2.0
3,68,Homogeneous,1,3.0,2.0
3,69,Homogeneous,0,0.0,5.0
3,70,Homogeneous,1,3.0,2.0
3,71,Homogeneous,1,3.0,2.0
3,72,Homogeneous,1,3.0,2.0
3,73,Homogeneous,1,3.0,2.0
3,74,Homogeneous,1,3.0,2.0
3,75,Homogeneous,0,0.0,5.0
3,76,Homogeneous,1,3.0,2.0
3,77,Homogeneous,0,0.0,5.0
3,78,Homogeneous,0,0.0,5.0
3,79,Homogeneous,0,0.0,5.0
4,0,Homogeneous,0,0.0,5.0
4,1,Homogeneous,1,3.0,2.0
4,2,Homogeneous,1,3.0,2.0
4,3,Homogeneous,1,3.0,2.0
4,4,Homogeneous,0,0.0,5.0
4,5,Homogeneous,1,3.0,2.0
4,6,Homogeneous,0,0.0,5.0
4,7,Homogeneous,1,3.0,2.0
4,8,Homogeneous,1,3.0,2.0
4,9,Homogeneous,1,3.0,2.0
4,10,Homogeneous,1,3.0,2.0
4,11,Homogeneous,1,3.0,2.0
4,12,Homogeneous,1,3.0,2.0
4,13,Homogeneous,1,3.0,2.0
4,14,Homogeneous,1,3.0,2.0
4,15,Homogeneous,1,3.0,2.0
4,16,Homogeneous,1,3.0,2.0
4,17,Homogeneous,1,3.0,2.0
4,18,Homogeneous,1,3.0,2.0
4,19,Homogeneous,1,3.0,2.0
4,20,Homogeneous,1,3.0,2.0
4,21,Homogeneous,0,0.0,5.0
4,22,Homogeneous,1,3.0,2.0
4,23,Homogeneous,1,3.0,2.0
4,24,Homogeneous,0,0.0,5.0
4,25,Homogeneous,1,3.0,2.0
4,26,Homogeneous,1,3.0,2.0
4,27,Homogeneous,0,0.0,5.0
4,28,Homogeneous,1,3.0,2.0
4,29,Homogeneous,1,3.0,2.0
4,30,Homogeneous,1,3.0,2.0
4,31,Homogeneous,1,3.0,2.0
4,32,Homogeneous,1,3.0,2.0
4,33,Homogeneous,1,3.0,2.0
4,34,Homogeneous,1,3.0,2.0
4,35,Homogeneous,1,3.0,2.0
