transaction_id,seed,buyer_id,buyer_class,seller_id,seller_class,visit_order,price,budget_before,budget_after,seller_inventory_after
161,2,56,Homogeneous,1,Homogeneous,0,3.0,5.0,2.0,3
162,2,57,Homogeneous,0,Homogeneous,2,3.0,5.0,2.0,6
163,2,58,Homogeneous,0,Homogeneous,2,3.0,5.0,2.0,5
164,2,60,Homogeneous,1,Homogeneous,0,3.0,5.0,2.0,2
165,2,61,Homogeneous,2,Homogeneous,0,3.0,5.0,2.0,4
166,2,62,Homogeneous,2,Homogeneous,3,3.0,5.0,2.0,3
167,2,63,Homogeneous,1,Homogeneous,3,3.0,5.0,2.0,1
168,2,65,Homogeneous,2,Homogeneous,0,3.0,5.0,2.0,2
169,2,66,Homogeneous,2,Homogeneous,2,3.0,5.0,2.0,1
170,2,68,Homogeneous,1,Homogeneous,0,3.0,5.0,2.0,0
171,2,71,Homogeneous,0,Homogeneous,2,3.0,5.0,2.0,4
172,2,72,Homogeneous,0,Homogeneous,3,3.0,5.0,2.0,3
173,2,73,Homogeneous,0,Homogeneous,1,3.0,5.0,2.0,2
174,2,74,Homogeneous,2,Homogeneous,0,3.0,5.0,2.0,0
175,2,75,Homogeneous,0,Homogeneous,0,3.0,5.0,2.0,1
176,2,76,Homogeneous,0,Homogeneous,2,3.0,5.0,2.0,0
177,3,0,Homogeneous,1,Homogeneous,2,3.0,5.0,2.0,14
178,3,1,Homogeneous,2,Homogeneous,2,3.0,5.0,2.0,14
179,3,2,Homogeneous,1,Homogeneous,0,3.0,5.0,2.0,13
180,3,3,Homogeneous,2,Homogeneous,1,3.0,5.0,2.0,13
181,3,4,Homogeneous,1,Homogeneous,0,3.0,5.0,2.0,12
182,3,5,Homogeneous,2,Homogeneous,2,3.0,5.0,2.0,12
183,3,6,Homogeneous,2,Homogeneous,2,3.0,5.0,2.0,11
184,3,7,Homogeneous,0,Homogeneous,2,3.0,5.0,2.0,14
185,3,9,Homogeneous,3,Homogeneous,0,3.0,5.0,2.0,14
186,3,10,Homogeneous,2,Homogeneous,0,3.0,5.0,2.0,10
187,3,11,Homogeneous,0,Homogeneous,0,3.0,5.0,2.0,13
188,3,12,Homogeneous,0,Homogeneous,0,3.0,5.0,2.0,12
189,3,13,Homogeneous,1,Homogeneous,0,3.0,5.0,2.0,11
190,3,14,Homogeneous,0,Homogeneous,2,3.0,5.0,2.0,11
191,3,15,Homogeneous,0,Homogeneous,1,3.0,5.0,2.0,10
192,3,16,Homogeneous,0,Homogeneous,2,3.0,5.0,2.0,9
193,3,17,Homogeneous,2,Homogeneous,1,3.0,5.0,2.0,9
194,3,18,Homogeneous,3,Homogeneous,1,3.0,5.0,2.0,13
195,3,19,Homogeneous,2,Homogeneous,1,3.0,5.0,2.0,8
196,3,20,Homogeneous,3,Homogeneous,1,3.0,5.0,2.0,12
